details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Giant Slalom;2022-01-25;1580;1206;;374;Haarala Janne;NOR;44.0;10:30;3.0;6.0;WORLEY Tessa;FRA;2:04.15;2021_2022;1989-10-04;33.0;Female;Rossignol;Rossignol;Leki;1;7.0;1:00.80;KRONPLATZ;ITA;60.0;36.0;850.0
Slalom;2022-01-16;1475;1281;;194;Davidson Johnny;NOR;58.0;13:30;10.0;25.0;SCHWARZ Marco;AUT;1:42.71;2021_2022;1995-08-16;27.0;Male;Atomic;Atomic;;2;21.0;50.61;WENGEN;SUI;26.0;10.0;5258.0
Giant Slalom;2020-10-18;3040;2670;;370;Perrin Frédéric;FRA;49.0;10:00;17.0;30.0;BRENNSTEINER Stefan;AUT;2:16.39;2020_2021;1991-10-03;31.0;Male;Fischer;Fischer;Leki;1;17.0;1:09.53;SOELDEN;AUT;14.0;14.0;3879.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;2.0;3.0;MAYER Matthias;AUT;1:12.85;2020_2021;1990-06-09;32.0;Male;Head;Head;Leki;1;2.0;1:12.85;GARMISCH-PARTENKIRCHEN;GER;80.0;80.0;3879.0
Slalom;2021-01-26;958;744;;214;Theolier Jacques;ITA;65.0;20:45;;;MAROVT Tijan;SLO;;2020_2021;1998-07-08;24.0;Male;Head;Head;;2;47.0;;SCHLADMING;AUT;;;813.0
Super G;2022-03-17;1865;1290;1857.0;575;Ghidoni Alberto;ITA;36.0;11:30;4.0;5.0;KILDE Aleksander Aamodt;NOR;1:10.31;2021_2022;1992-09-21;30.0;Male;Atomic;Atomic;Leki;1;4.0;1:10.31;COURCHEVEL/MERIBEL;FRA;50.0;50.0;3068.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;12.0;27.0;KRISTOFFERSEN Henrik;NOR;1:50.90;2021_2022;1994-07-02;28.0;Male;Van Deer;;;2;20.0;56.75;ADELBODEN;SUI;22.0;11.0;3068.0
Slalom;2021-03-06;1450;1250;;200;Guadagnini Matteo;ITA;66.0;12:30;2.0;30.0;VLHOVA Petra;SVK;1:44.62;2020_2021;1995-06-13;27.0;Female;Rossignol;Rossignol;;2;3.0;52.98;JASNA;SVK;80.0;60.0;1189.0
Giant Slalom;2021-01-09;1730;1310;;420;Grasic Dusan;CAN;53.0;10:30;8.0;18.0;LEITINGER Roland;AUT;2:20.60;2020_2021;1991-05-13;31.0;Male;Salomon;Salomon;;1;7.0;1:10.85;ADELBODEN;SUI;32.0;36.0;3879.0
Slalom;2020-12-22;1733;1550;;183;Dogadkin Andrey;RUS;63.0;17:45;;31.0;MARCHANT Armand;BEL;;2020_2021;1997-12-14;25.0;Male;Salomon;Salomon;;1;30.0;49.90;MADONNA DI CAMPIGLIO;ITA;;1.0;69.0
